id	char
0	

1	一
2	丁
3	七
4	万
5	上
6	下
7	不
8	与
9	专
10	世
11	丛
12	东
13	两
14	个
15	中
16	丰
17	临
18	为
19	丽
20	久
21	么
22	义
23	之
24	乎
25	乐
26	乘
27	九
28	也
29	习
30	乡
31	乱
32	了
33	予
34	争
35	事
36	于
37	云
38	互
39	五
40	些
41	亡
42	交
43	享
44	亮
45	亲
46	人
47	亿
48	什
49	今
50	从
51	他
52	仗
53	仙
54	以
55	们
56	仰
57	任
58	会
59	伤
60	伴
61	伸
62	但
63	低
64	住
65	体
66	何
67	作
68	你
69	使
70	依
71	侧
72	侵
73	便
74	信
75	修
76	俱
77	候
78	倦
79	倾
80	假
81	偏
82	做
83	停
84	偶
85	傲
86	像
87	儿
88	充
89	光
90	入
91	全
92	六
93	共
94	关
95	其
96	内
97	再
98	冬
99	冰
100	冲
101	决
102	冷
103	净
104	凄
105	凉
106	凋
107	几
108	凡
109	出
110	击
111	刀
112	刃
113	分
114	切
115	创
116	初
117	利
118	别
119	到
120	刺
121	刻
122	前
123	剑
124	力
125	加
126	动
127	助
128	勇
129	匆
130	化
131	千
132	升
133	午
134	华
135	单
136	南
137	却
138	卷
139	历
140	厌
141	厚
142	原
143	去
144	又
145	及
146	友
147	双
148	发
149	受
150	变
151	口
152	古
153	句
154	另
155	只
156	叫
157	可
158	台
159	右
160	叶
161	各
162	合
163	同
164	名
165	后
166	向
167	否
168	吧
169	听
170	启
171	吹
172	吻
173	告
174	呤
175	味
176	呼
177	命
178	和
179	哀
180	响
181	哪
182	哭
183	唇
184	唤
185	唱
186	啊
187	喜
188	喧
189	嘴
190	嚣
191	四
192	回
193	因
194	园
195	困
196	围
197	在
198	地
199	场
200	坐
201	坚
202	坠
203	埃
204	城
205	堂
206	堪
207	墙
208	壁
209	壮
210	声
211	处
212	复
213	夏
214	夕
215	外
216	多
217	夜
218	够
219	大
220	天
221	太
222	央
223	失
224	头
225	奇
226	奏
227	奔
228	套
229	女
230	她
231	好
232	如
233	妙
234	始
235	姑
236	娇
237	娘
238	婉
239	媚
240	嫣
241	子
242	字
243	存
244	季
245	孤
246	学
247	孩
248	宁
249	它
250	守
251	安
252	完
253	定
254	宛
255	实
256	客
257	害
258	家
259	容
260	宽
261	寂
262	富
263	寒
264	寞
265	寡
266	对
267	寻
268	将
269	小
270	少
271	尔
272	尘
273	就
274	尽
275	局
276	屋
277	山
278	岁
279	岸
280	崇
281	崩
282	崭
283	巍
284	川
285	左
286	己
287	已
288	市
289	帆
290	希
291	帘
292	带
293	常
294	幕
295	干
296	平
297	年
298	并
299	幸
300	幻
301	幽
302	广
303	庄
304	底
305	庞
306	庸
307	开
308	异
309	弃
310	张
311	弦
312	弱
313	弹
314	强
315	归
316	当
317	彩
318	影
319	彷
320	彼
321	往
322	待
323	很
324	徊
325	律
326	得
327	徘
328	徨
329	微
330	心
331	忆
332	忍
333	忏
334	忘
335	忧
336	快
337	念
338	忽
339	怀
340	态
341	怅
342	怎
343	思
344	总
345	恋
346	恍
347	恐
348	恒
349	恨
350	息
351	恼
352	悄
353	悉
354	悔
355	悠
356	悦
357	悬
358	悲
359	悴
360	情
361	惆
362	惊
363	惑
364	惜
365	惭
366	惯
367	想
368	愁
369	意
370	感
371	愧
372	愿
373	慌
374	慢
375	慧
376	憔
377	懂
378	成
379	我
380	战
381	房
382	所
383	手
384	才
385	扑
386	打
387	执
388	扬
389	扰
390	扶
391	找
392	承
393	把
394	折
395	抚
396	护
397	抱
398	拂
399	拒
400	拗
401	拜
402	拥
403	拨
404	择
405	持
406	挂
407	指
408	挡
409	挤
410	挥
411	挺
412	挽
413	掉
414	掠
415	接
416	推
417	握
418	搀
419	摇
420	摸
421	操
422	攘
423	支
424	收
425	改
426	放
427	故
428	教
429	敢
430	散
431	整
432	断
433	新
434	方
435	旁
436	旅
437	旋
438	无
439	日
440	旧
441	旨
442	早
443	时
444	明
445	昏
446	昔
447	星
448	映
449	春
450	昨
451	是
452	晕
453	晚
454	晦
455	晨
456	普
457	景
458	晴
459	智
460	暂
461	暖
462	暗
463	暴
464	曲
465	曳
466	更
467	曾
468	最
469	月
470	有
471	朋
472	朔
473	朗
474	望
475	朝
476	期
477	未
478	本
479	村
480	条
481	来
482	杯
483	松
484	林
485	果
486	枯
487	染
488	柔
489	树
490	样
491	桃
492	桑
493	梦
494	棠
495	楚
496	概
497	檐
498	次
499	欢
500	欣
501	欲
502	歇
503	歌
504	止
505	正
506	此
507	步
508	死
509	残
510	每
511	比
512	水
513	永
514	求
515	汇
516	江
517	沉
518	沐
519	没
520	沧
521	河
522	泉
523	泊
524	法
525	泣
526	注
527	泪
528	洁
529	洋
530	洒
531	洗
532	洱
533	活
534	流
535	浪
536	浮
537	浴
538	海
539	消
540	涉
541	涛
542	涧
543	涯
544	淌
545	淡
546	深
547	清
548	渐
549	温
550	渴
551	游
552	渺
553	湖
554	湛
555	湮
556	溃
557	源
558	溪
559	溶
560	滋
561	满
562	漂
563	演
564	漫
565	澈
566	激
567	火
568	灭
569	灯
570	灰
571	灿
572	点
573	烁
574	烂
575	烟
576	烦
577	烧
578	热
579	焦
580	焰
581	然
582	煌
583	照
584	熄
585	熊
586	熙
587	熟
588	燃
589	爱
590	爽
591	片
592	牢
593	物
594	牵
595	犹
596	狂
597	独
598	献
599	玫
600	现
601	珍
602	珠
603	理
604	琴
605	瑰
606	甚
607	甜
608	生
609	用
610	田
611	由
612	电
613	男
614	画
615	畅
616	界
617	留
618	番
619	疑
620	疗
621	疯
622	疼
623	痕
624	痛
625	登
626	白
627	百
628	的
629	盈
630	盏
631	盛
632	目
633	盲
634	直
635	相
636	盼
637	看
638	真
639	眠
640	眩
641	眸
642	眼
643	着
644	瞬
645	知
646	短
647	破
648	确
649	碎
650	碧
651	礼
652	祈
653	祝
654	神
655	祥
656	祷
657	福
658	离
659	秋
660	种
661	移
662	稀
663	程
664	空
665	穿
666	窒
667	窗
668	站
669	竟
670	端
671	笑
672	符
673	等
674	简
675	管
676	篇
677	篝
678	籁
679	粹
680	精
681	系
682	紧
683	累
684	繁
685	红
686	约
687	纯
688	纵
689	纷
690	织
691	终
692	经
693	结
694	绕
695	给
696	绚
697	绝
698	维
699	绽
700	绿
701	缈
702	缓
703	缕
704	编
705	缘
706	缤
707	缥
708	美
709	群
710	翅
711	翔
712	翠
713	翻
714	耀
715	老
716	考
717	而
718	耗
719	耳
720	聚
721	肆
722	肩
723	肯
724	背
725	胸
726	能
727	脆
728	脏
729	脑
730	脚
731	脸
732	腐
733	腾
734	腿
735	膀
736	膛
737	自
738	至
739	舒
740	舞
741	般
742	艰
743	色
744	艳
745	节
746	芒
747	芬
748	花
749	苍
750	若
751	苦
752	英
753	茁
754	茫
755	草
756	荒
757	荡
758	荷
759	莫
760	莲
761	获
762	菲
763	萎
764	落
